feature,coefficient,direction,abs_coefficient
full_text_char_tfidf_cosine,3.4466536206142324,positive,3.4466536206142324
title_char_tfidf_cosine,2.2523670101900457,positive,2.2523670101900457
full_text_word_tfidf_cosine,1.8807871267056495,positive,1.8807871267056495
title_word_tfidf_cosine,1.2820710702762959,positive,1.2820710702762959
title_token_containment,1.1263123652367422,positive,1.1263123652367422
title_fuzz_ratio,-1.1142620617036887,negative,1.1142620617036887
description_token_jaccard,-0.871414849128996,negative,0.871414849128996
description_rel_len_diff,0.7836946474766573,positive,0.7836946474766573
price_left_missing,-0.7589031588970541,negative,0.7589031588970541
brand_both_present,-0.6352447055593881,negative,0.6352447055593881
description_both_present,0.6184247746595666,positive,0.6184247746595666
price_right_missing,-0.5692966279710236,negative,0.5692966279710236
price_rel_diff,-0.541744310408684,negative,0.541744310408684
title_both_present,-0.5261016274204249,negative,0.5261016274204249
price_currency_both_missing,-0.43011462407092604,negative,0.43011462407092604
title_fuzz_token_set_ratio,0.4238269798930402,positive,0.4238269798930402
price_both_present,0.39766837029295105,positive,0.39766837029295105
title_token_jaccard,-0.35302969469333884,negative,0.35302969469333884
price_currency_exact_match,-0.34854541400358313,negative,0.34854541400358313
price_same_currency,-0.34854541400358313,negative,0.34854541400358313
price_currency_both_present,0.34853052112518773,positive,0.34853052112518773
description_token_containment,-0.3481918310281093,negative,0.3481918310281093
brand_fuzz_token_set_ratio,0.34601718816350613,positive,0.34601718816350613
brand_both_missing,-0.3274419497968735,negative,0.3274419497968735
rel_left_right_text_len_diff,0.2804718355612407,positive,0.2804718355612407
brand_exact_match,0.22871152036536221,positive,0.22871152036536221
brand_left_missing,-0.21279499746659158,negative,0.21279499746659158
pair_text_len,-0.1883056852590253,negative,0.1883056852590253
pair_text_tfidf__headset,-0.1753182483923632,negative,0.1753182483923632
pair_text_tfidf__eur,0.1736320113269943,positive,0.1736320113269943
pair_text_tfidf__price_currency eur,0.1736320113269943,positive,0.1736320113269943
right_text_len,0.17059526463480132,positive,0.17059526463480132
left_text_len,0.1672006774824564,positive,0.1672006774824564
description_fuzz_token_set_ratio,-0.15920858914571373,negative,0.15920858914571373
title_rel_len_diff,0.15521680877560584,positive,0.15521680877560584
pair_text_tfidf__epson,0.15322682382179673,positive,0.15322682382179673
pair_text_tfidf__canon,0.15237952556675524,positive,0.15237952556675524
pair_text_tfidf__usb,-0.14627928490541828,negative,0.14627928490541828
pair_text_tfidf__toner,0.1428804566403622,positive,0.1428804566403622
pair_text_tfidf__jabra,-0.14237832986884186,negative,0.14237832986884186
pair_text_tfidf__maxxis,-0.14192719419097966,negative,0.14192719419097966
pair_text_tfidf__corsair,-0.14180863635534624,negative,0.14180863635534624
pair_text_tfidf__original,0.13825595001209828,positive,0.13825595001209828
pair_text_tfidf__cap,-0.13774060178302522,negative,0.13774060178302522
pair_text_tfidf__sandisk,-0.12968407907638574,negative,0.12968407907638574
pair_text_tfidf__new era,-0.12499956983421616,negative,0.12499956983421616
pair_text_tfidf__era,-0.12499956983421616,negative,0.12499956983421616
pair_text_tfidf__eur right,0.12183756717809471,positive,0.12183756717809471
pair_text_tfidf__daniel,-0.12067030993804675,negative,0.12067030993804675
pair_text_tfidf__kingston,0.11659173420835262,positive,0.11659173420835262
