feature,coefficient,abs_coefficient,direction
full_text_char_tfidf_cosine,3.4466536206142324,3.4466536206142324,positive_match
title_char_tfidf_cosine,2.2523670101900457,2.2523670101900457,positive_match
full_text_word_tfidf_cosine,1.8807871267056495,1.8807871267056495,positive_match
title_word_tfidf_cosine,1.2820710702762959,1.2820710702762959,positive_match
title_token_containment,1.1263123652367422,1.1263123652367422,positive_match
title_fuzz_ratio,-1.1142620617036887,1.1142620617036887,negative_match
description_token_jaccard,-0.871414849128996,0.871414849128996,negative_match
description_rel_len_diff,0.7836946474766573,0.7836946474766573,positive_match
price_left_missing,-0.7589031588970541,0.7589031588970541,negative_match
brand_both_present,-0.6352447055593881,0.6352447055593881,negative_match
description_both_present,0.6184247746595666,0.6184247746595666,positive_match
price_right_missing,-0.5692966279710236,0.5692966279710236,negative_match
price_rel_diff,-0.541744310408684,0.541744310408684,negative_match
title_both_present,-0.5261016274204249,0.5261016274204249,negative_match
price_currency_both_missing,-0.43011462407092604,0.43011462407092604,negative_match
title_fuzz_token_set_ratio,0.4238269798930402,0.4238269798930402,positive_match
price_both_present,0.39766837029295105,0.39766837029295105,positive_match
title_token_jaccard,-0.35302969469333884,0.35302969469333884,negative_match
price_currency_exact_match,-0.34854541400358313,0.34854541400358313,negative_match
price_same_currency,-0.34854541400358313,0.34854541400358313,negative_match
price_currency_both_present,0.34853052112518773,0.34853052112518773,positive_match
description_token_containment,-0.3481918310281093,0.3481918310281093,negative_match
brand_fuzz_token_set_ratio,0.34601718816350613,0.34601718816350613,positive_match
brand_both_missing,-0.3274419497968735,0.3274419497968735,negative_match
rel_left_right_text_len_diff,0.2804718355612407,0.2804718355612407,positive_match
brand_exact_match,0.22871152036536221,0.22871152036536221,positive_match
brand_left_missing,-0.21279499746659158,0.21279499746659158,negative_match
pair_text_len,-0.1883056852590253,0.1883056852590253,negative_match
pair_text_tfidf__headset,-0.1753182483923632,0.1753182483923632,negative_match
pair_text_tfidf__eur,0.1736320113269943,0.1736320113269943,positive_match
pair_text_tfidf__price_currency eur,0.1736320113269943,0.1736320113269943,positive_match
right_text_len,0.17059526463480132,0.17059526463480132,positive_match
left_text_len,0.1672006774824564,0.1672006774824564,positive_match
description_fuzz_token_set_ratio,-0.15920858914571373,0.15920858914571373,negative_match
title_rel_len_diff,0.15521680877560584,0.15521680877560584,positive_match
pair_text_tfidf__epson,0.15322682382179673,0.15322682382179673,positive_match
pair_text_tfidf__canon,0.15237952556675524,0.15237952556675524,positive_match
pair_text_tfidf__usb,-0.14627928490541828,0.14627928490541828,negative_match
pair_text_tfidf__toner,0.1428804566403622,0.1428804566403622,positive_match
pair_text_tfidf__jabra,-0.14237832986884186,0.14237832986884186,negative_match
pair_text_tfidf__maxxis,-0.14192719419097966,0.14192719419097966,negative_match
pair_text_tfidf__corsair,-0.14180863635534624,0.14180863635534624,negative_match
pair_text_tfidf__original,0.13825595001209828,0.13825595001209828,positive_match
pair_text_tfidf__cap,-0.13774060178302522,0.13774060178302522,negative_match
pair_text_tfidf__sandisk,-0.12968407907638574,0.12968407907638574,negative_match
pair_text_tfidf__new era,-0.12499956983421616,0.12499956983421616,negative_match
pair_text_tfidf__era,-0.12499956983421616,0.12499956983421616,negative_match
pair_text_tfidf__eur right,0.12183756717809471,0.12183756717809471,positive_match
pair_text_tfidf__daniel,-0.12067030993804675,0.12067030993804675,negative_match
pair_text_tfidf__kingston,0.11659173420835262,0.11659173420835262,positive_match
