variant_id,run_name,split,threshold,symbolic_profile,ablation,removed_constraint,accuracy,balanced_accuracy,precision,recall,f1,tp,fp,tn,fn,positive_rate_pred
pairwise_50_medium_unseen100,neural_logreg,valid,0.66,conservative,neural_only,,0.8477142857142858,0.7911666666666666,0.4778523489932886,0.712,0.5718875502008032,356,389,2611,144,0.21285714285714286
pairwise_50_medium_unseen100,neural_logreg,valid,0.66,conservative,full_governance,,0.8765714285714286,0.7663333333333333,0.5625,0.612,0.5862068965517241,306,238,2762,194,0.15542857142857142
pairwise_50_medium_unseen100,neural_logreg,valid,0.66,conservative,without_brand_conflict,brand_conflict,0.8765714285714286,0.7705,0.5613718411552346,0.622,0.5901328273244781,311,243,2757,189,0.15828571428571428
pairwise_50_medium_unseen100,neural_logreg,valid,0.66,conservative,without_accessory_main_product_conflict,accessory_main_product_conflict,0.8771428571428571,0.77,0.5636363636363636,0.62,0.5904761904761905,310,240,2760,190,0.15714285714285714
pairwise_50_medium_unseen100,neural_logreg,valid,0.66,conservative,without_model_token_conflict,model_token_conflict,0.8522857142857143,0.7721666666666667,0.4874446085672083,0.66,0.5607476635514018,330,347,2653,170,0.19342857142857142
pairwise_50_medium_unseen100,neural_logreg,valid,0.66,conservative,without_variant_modifier_conflict,variant_modifier_conflict,0.876,0.7751666666666667,0.5580985915492958,0.634,0.5936329588014981,317,251,2749,183,0.16228571428571428
pairwise_50_medium_unseen100,neural_logreg,valid,0.66,conservative,without_quantity_conflict,quantity_conflict,0.8754285714285714,0.7681666666666667,0.5577617328519856,0.618,0.5863377609108159,309,245,2755,191,0.15828571428571428
pairwise_50_medium_unseen100,neural_logreg,test,0.66,conservative,neural_only,,0.7904444444444444,0.731625,0.2984531392174704,0.656,0.41025641025641024,328,771,3229,172,0.24422222222222223
pairwise_50_medium_unseen100,neural_logreg,test,0.66,conservative,full_governance,,0.85,0.7213750000000001,0.3803009575923393,0.556,0.4516653127538586,278,453,3547,222,0.16244444444444445
pairwise_50_medium_unseen100,neural_logreg,test,0.66,conservative,without_brand_conflict,brand_conflict,0.8486666666666667,0.722375,0.37786774628879893,0.56,0.4512489927477841,280,461,3539,220,0.16466666666666666
pairwise_50_medium_unseen100,neural_logreg,test,0.66,conservative,without_accessory_main_product_conflict,accessory_main_product_conflict,0.8493333333333334,0.72275,0.3794037940379404,0.56,0.45234248788368336,280,458,3542,220,0.164
pairwise_50_medium_unseen100,neural_logreg,test,0.66,conservative,without_model_token_conflict,model_token_conflict,0.8073333333333333,0.727125,0.3148335015136226,0.624,0.41851106639839036,312,679,3321,188,0.22022222222222224
pairwise_50_medium_unseen100,neural_logreg,test,0.66,conservative,without_variant_modifier_conflict,variant_modifier_conflict,0.8466666666666667,0.72475,0.37467018469656993,0.568,0.45151033386327505,284,474,3526,216,0.16844444444444445
pairwise_50_medium_unseen100,neural_logreg,test,0.66,conservative,without_quantity_conflict,quantity_conflict,0.8422222222222222,0.7204999999999999,0.3643410852713178,0.564,0.4427001569858713,282,492,3508,218,0.172
